date_key,full_date,year,quarter,month,day,day_of_week,week_of_year
20240106,2024-01-06,2024,1,1,6,6,1
20240306,2024-03-06,2024,1,3,6,3,10
20240330,2024-03-30,2024,1,3,30,6,13
20240404,2024-04-04,2024,2,4,4,4,14
20240421,2024-04-21,2024,2,4,21,0,16
20240515,2024-05-15,2024,2,5,15,3,20
20240704,2024-07-04,2024,3,7,4,4,27
20240716,2024-07-16,2024,3,7,16,2,29
20250103,2025-01-03,2025,1,1,3,5,1
20250109,2025-01-09,2025,1,1,9,4,2
20250205,2025-02-05,2025,1,2,5,3,6
20250206,2025-02-06,2025,1,2,6,4,6
20250218,2025-02-18,2025,1,2,18,2,8
20250220,2025-02-20,2025,1,2,20,4,8
20250224,2025-02-24,2025,1,2,24,1,9
20250323,2025-03-23,2025,1,3,23,0,12
20250419,2025-04-19,2025,2,4,19,6,16
20250613,2025-06-13,2025,2,6,13,5,24
20250615,2025-06-15,2025,2,6,15,0,24
20250618,2025-06-18,2025,2,6,18,3,25
20250624,2025-06-24,2025,2,6,24,2,26
20250625,2025-06-25,2025,2,6,25,3,26
20250821,2025-08-21,2025,3,8,21,4,34
20250901,2025-09-01,2025,3,9,1,1,36
20251017,2025-10-17,2025,4,10,17,5,42
20251025,2025-10-25,2025,4,10,25,6,43
20251126,2025-11-26,2025,4,11,26,3,48
20251204,2025-12-04,2025,4,12,4,4,49
20251221,2025-12-21,2025,4,12,21,0,51
